"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6009130222043","20.1133268699863","12.2161903714725","2.09291010616282","3.83127360302673","0.275949465299433","0.989467955083654","2.28442986452826","-2.07950497732082","-2.3119303489744","4.22698116566202","-0.141877040803152","-0.72746076613582","5.42760906762932","-5.10718864860483","-5.40587890067506","-0.152950639075172","6.03174361973117","-0.0949589566665878","0.24787004558857","1.41000171190544","-0.221813254773522","-10.6079463315548","-3.88965472336307","3.05681303262698","-1.87370102593161","3.58225432486847","0.257489118022548","-0.971512148760766","-0.669128987662134","0.905027625215965","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71300842307569","-3.01821977994275","7.006851412326","2.01012899493","10.7329581141356","1.34632286509957","18.3115870684776","11.1906779072261","-2.63434945889242","9.1219684787403","2.15723864539557","-0.493889435348265","-1.49112132158649","-0.452986752788249","0.139699834860679","",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.65343905183671","-3.52372681054243","0.534102177139147","2.43385348142813","0.26378614146158","-0.0396720304253364","1.3250484763593","3.40330422185133","-2.60818920092767","-6.18049537473685","-2.08183704048167","-8.85081649667477","-26.452638607654","-1.86429214720589","11.5530369816049","10.3482217570661","4.38288747791884","1.88663052256818","-0.67225371752636","-0.0240411216673522","0.878294114303642","9.85336297840813","-0.578597022338172","7.05747316139221","10.9882719189879","7.63980910837144","10.0176643019885","7.27454030175115","-2.67533585480193","1.18167853105004","-0.157160936158135","4.74654679922102","1.31247401834371","1.23206109352689","-2.45815194564865","-5.80615790685135","-3.40162164599043","",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854696174","0.79584007146461","-1.01680217240639","-3.30749720294654","-0.29059534780923","3.61465554380212","-2.74949637957353","-3.26252233364258","6.92361728372852","-11.1879052985212","-29.1632714937896","-6.63551868480819","10.2707861269955","8.9668773896523","14.0020242198047","9.78018045411694","-10.3611209926941","9.5170643177467","13.607260376907","7.63383003774318","9.31105327378552","4.85396161271193","5.92557918500233","5.95188213571518","6.07147653966305","6.57024711725482","6.78394469122567","8.32806667358838","4.04882151063748","4.22616091336101","2.82624868554436","1.58763457190916","1.18521311239857","1.98093001844177","2.51810439326781","3.5153685666811","3.9310877062523","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.603684764691963","2.78890725216741","2.67240932351494","1.01049023194102","-3.33802602029949","-0.181175650466415","-0.280692814867137","-1.44221540552351","-3.06444898925623","-1.33076003498745","-3.94874555214275","-2.93137260946317","-2.59533589819419","-2.5983517279527","-2.02378656786776","-1.00182403610583","1.32567293379257","0.970487690399651","0.801682524889102","-0.142614681963167","-1.36612958050658","-2.87054457996793","-4.41262289346227","-0.403571697636579","0.869722420740231","3.82047713638481","9.12362433712759","3.49242735453457","3.73035953120058","1.91345185341861","1.5178447071707","2.3549886357867","7.36665654611488","3.32467350857601","3.82511760495888","1.79487302846965","-2.00717757799602","-9.87404494462545","-4.37595479585616","-5.344256801575","-3.85184552026108","-0.0397440046016158","2.39251434801653","4.29811376203565","2.40497717507313","2.85552917145593","2.29146375207034","",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","12.2425468427159","4.77645796159723","-3.89621475411252","7.91139108995003","5.6501230781342","-0.308654597420102","-11.8752414815651","-9.66173546931824","-1.65896614343927","-5.1729807655089","1.66385353718681","-3.33398989777739","2.6509143890157","-0.436219388020334","9.11126157328246","-1.15892673458617","3.10931512378063","0.589291578924176","0.639027450131451","-0.314535607190393","2.29030444782974","2.04432796315555","3.12805203929972","-0.247710491666226","3.28239754278641","-0.486542398767398","-1.46762689598161","3.07648336719883","6.95683495760314","3.34667721629984","4.01451248612462","2.05108867551382","3.21863411773225","-1.93511368839788","2.29194819151917","1.22672209869322","4.29171777049859","0.866775659902402","0.262042789426474","1.19886846881488","1.17280676345601","-0.981692328006247","",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","-0.155603807692302","5.01609317566508","-13.6151902430069","8.25024813848488","13.1384793951082","-2.67191433828287","-12.1022588574286","-9.57405653722954","-1.14398498085808","-8.62414791802667","-19.6466459344787","-2.48025950384792","-8.21359700897274","5.92826311305529","11.7040828978637","-4.76404774687946","-2.43054579810232","-4.27875708089761","1.32885790148407","1.45400134654379","0.769829808187254","3.02172166525077","-4.58930475314187","-2.26386549842887","4.99325287457764","-3.81736906340578","-2.8587344031189","1.97639571301622","0.292826708319538","-6.40140209789303","-4.04354345480911","-10.5079617431646","-9.53391025052916","-14.7863096970001","-5.82071917354054","1.97625091813465","1.80833577860795","3.81912753497551","3.65515437273002","4.10711094830847","1.70730974901289","-0.609202845328042","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74727298624845","-2.41045373503677","-6.77162563576037","8.4643972014256","8.93465891518839","-2.08931231286356","1.73649026544156","3.33958722693566","8.07791876619788","1.46782761694514","3.95234628370137","-0.0795824697891021","1.0565679232636","3.759641824374","-1.64865751932794","-3.53615871634896","5.337159335316","-5.90355955067864","8.60316428295522","-0.0031514433578792","-6.64291820382384","-2.27842025418109","2.7167939504253","-0.0117276890882891","-6.64877561877029","4.54180354787854","1.16648616498101","-2.54904386054005","-8.50381377434361","-3.85639806581109","7.60700876256612","6.4580457554998","6.76119378230567","4.46663129047258","-4.05760067538039","4.26087062376475","6.8611433276325","2.68214197035334","-4.45704657689522","-1.88501051746583","-5.46511390595744","-11.8771804942886","7.64379418460412","7.84910614558494","7.69268851986895","6.91802708554957","7.88585198132516","2.99516742225612","-6.88014857518392","8.99143795986308","4.90212524432248","-2.0605746367528","1.33845293358164","-3.51419598172089","1.69894482424465","-2.78459211069379","1.87029494383506","",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8708692009453","-40.7444504395034","-6.63838040028337","7.94982992728654","9.10349251054832","7.50697165135512","4.47954333579182","8.142264624894","3.95768531293194","6.57029552359383","10.2365728278132","13.8114951299476","14.6488627804356","11.1008407518463","14.6048765222304","14.0688074235401","14.7359661713185","7.81291869423022","-13.5663979177597","2.60040878359436","4.76298935624639","6.96413130176272","2.88633717745479","3.14688234201125","2.82037882034321","-0.0694778748475073","7.29332355099035","",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.155853113673388","0.288979993982736","-0.155634548070836","-3.40196078431373","3.27895429118665","-1.1227132320859","-2.86966301550648","1.50761549939469","0.868398308387057","-4.23658922397991","-2.89189361534288","0.708165713822311","1.06574254147218","-2.72800629845827","-5.45116989816498","",
